Dataset,Set,Approach,Metric,Value,Method,File,Specs
AISHELL-4,,Baseline,Purity,0.54531,,S_R004S04C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.95958,,S_R004S04C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.69832,,L_R003S04C02,ecapa_ahc
AISHELL-4,,Baseline,JER,0.89449,,L_R003S04C02,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.66469,,L_R003S04C02,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.89556,,L_R003S04C02,ecapa_ahc
AISHELL-4,,Baseline,DER,0.82124,,L_R003S02C02,ecapa_ahc
AISHELL-4,,Baseline,JER,0.88652,,L_R003S02C02,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.50456,,L_R003S02C02,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.97735,,L_R003S02C02,ecapa_ahc
AISHELL-4,,Baseline,DER,0.47398,,S_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,JER,0.75149,,S_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,Purity,0.62995,,S_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,Coverage,0.90614,,S_R003S04C01,ecapa_ahc
AISHELL-4,,Baseline,DER,0.55215,,S_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.79772,,S_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.63861,,S_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.98231,,S_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.78972,,L_R003S03C02,ecapa_sc
AISHELL-4,,Baseline,JER,0.8942,,L_R003S03C02,ecapa_sc
AISHELL-4,,Baseline,Purity,0.5151,,L_R003S03C02,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.86059,,L_R003S03C02,ecapa_sc
AISHELL-4,,Baseline,DER,0.71641,,M_R003S04C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.87202,,M_R003S04C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.66898,,M_R003S04C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.89574,,M_R003S04C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.7115,,L_R004S06C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.87345,,L_R004S06C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.46417,,L_R004S06C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.99326,,L_R004S06C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.88908,,M_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.90853,,M_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.48841,,M_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.91489,,M_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.59509,,S_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.8069,,S_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.50327,,S_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.99859,,S_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.88193,,L_R003S01C02,ecapa_sc
AISHELL-4,,Baseline,JER,0.89757,,L_R003S01C02,ecapa_sc
AISHELL-4,,Baseline,Purity,0.41925,,L_R003S01C02,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.94568,,L_R003S01C02,ecapa_sc
AISHELL-4,,Baseline,DER,0.7594,,L_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.86324,,L_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.51623,,L_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.94721,,L_R004S03C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.80669,,M_R003S05C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.89173,,M_R003S05C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.59483,,M_R003S05C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.96429,,M_R003S05C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.76746,,L_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.8901,,L_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.66684,,L_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.93923,,L_R004S01C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.45271,,S_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.77085,,S_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.65689,,S_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.97043,,S_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.6612,,L_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.85579,,L_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.65716,,L_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.95007,,L_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.51838,,S_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.80774,,S_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.66244,,S_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.96219,,S_R003S02C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.9024,,M_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.83521,,M_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.45671,,M_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.99815,,M_R003S01C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.48474,,S_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.74397,,S_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.6492,,S_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.98666,,S_R004S02C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.61176,,S_R003S03C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.79567,,S_R003S03C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.55362,,S_R003S03C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.95955,,S_R003S03C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.55016,,S_R004S04C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.79095,,S_R004S04C01,ecapa_sc
AISHELL-4,,Baseline,Purity,0.55262,,S_R004S04C01,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.97839,,S_R004S04C01,ecapa_sc
AISHELL-4,,Baseline,DER,0.63814,,L_R003S04C02,ecapa_sc
AISHELL-4,,Baseline,JER,0.85452,,L_R003S04C02,ecapa_sc
AISHELL-4,,Baseline,Purity,0.79061,,L_R003S04C02,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.96814,,L_R003S04C02,ecapa_sc
AISHELL-4,,Baseline,DER,0.81567,,L_R003S02C02,ecapa_sc
AISHELL-4,,Baseline,JER,0.8807,,L_R003S02C02,ecapa_sc
AISHELL-4,,Baseline,Purity,0.51936,,L_R003S02C02,ecapa_sc
AISHELL-4,,Baseline,Coverage,0.99196,,L_R003S02C02,ecapa_sc
AISHELL-4,,Baseline,DER,0.46473,,S_R003S04C01,ecapa_sc
AISHELL-4,,Baseline,JER,0.74345,,S_R003S04C01,ecapa_sc
