Dataset,Set,Version,Approach,Metric,Value,Method,File
AISHELL-4,,2.1,Global,JER,0.47688,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Global,Purity,0.7728,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Global,Coverage,0.9174,WhisperX,L_R003S04C02
AISHELL-4,,2.1,Global,DER,0.39944,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,JER,0.47853,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,Purity,0.73278,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,Coverage,0.91741,WhisperX,L_R003S02C02
AISHELL-4,,2.1,Global,DER,0.41149,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Global,JER,0.59376,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Global,Purity,0.65851,WhisperX,S_R003S04C01
AISHELL-4,,2.1,Global,Coverage,0.80167,WhisperX,S_R003S04C01
AISHELL-4,,3.1,Global,DER,0.17257,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,JER,0.20507,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,Purity,0.96867,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,Coverage,0.96586,WhisperX,S_R004S01C01
AISHELL-4,,3.1,Global,DER,0.40547,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,JER,0.56887,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,Purity,0.70751,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,Coverage,0.81147,WhisperX,L_R003S03C02
AISHELL-4,,3.1,Global,DER,0.46297,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,JER,0.47686,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,Purity,0.72719,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,Coverage,0.72719,WhisperX,M_R003S04C01
AISHELL-4,,3.1,Global,DER,0.18831,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,JER,0.27519,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,Purity,0.92346,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,Coverage,0.97294,WhisperX,L_R004S06C01
AISHELL-4,,3.1,Global,DER,0.28292,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Global,JER,0.35873,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Global,Purity,0.81673,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Global,Coverage,0.81673,WhisperX,M_R003S02C01
AISHELL-4,,3.1,Global,DER,0.10947,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Global,JER,0.11671,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Global,Purity,0.9962,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Global,Coverage,0.98712,WhisperX,S_R004S03C01
AISHELL-4,,3.1,Global,DER,0.50433,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Global,JER,0.6347,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Global,Purity,0.5928,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Global,Coverage,0.8187,WhisperX,L_R003S01C02
AISHELL-4,,3.1,Global,DER,0.30992,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Global,JER,0.57905,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Global,Purity,0.74735,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Global,Coverage,0.77579,WhisperX,L_R004S03C01
AISHELL-4,,3.1,Global,DER,0.4972,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Global,JER,0.56362,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Global,Purity,0.63624,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Global,Coverage,0.80553,WhisperX,M_R003S05C01
AISHELL-4,,3.1,Global,DER,0.24578,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Global,JER,0.42976,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Global,Purity,0.86867,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Global,Coverage,0.89815,WhisperX,L_R004S01C01
AISHELL-4,,3.1,Global,DER,0.22409,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Global,JER,0.32299,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Global,Purity,0.87502,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Global,Coverage,0.87502,WhisperX,S_R003S01C01
AISHELL-4,,3.1,Global,DER,0.33208,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Global,JER,0.60891,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Global,Purity,0.7516,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Global,Coverage,0.78883,WhisperX,L_R004S02C01
AISHELL-4,,3.1,Global,DER,0.21064,WhisperX,S_R003S02C01
AISHELL-4,,3.1,Global,JER,0.3028,WhisperX,S_R003S02C01
AISHELL-4,,3.1,Global,Purity,0.90718,WhisperX,S_R003S02C01
