Dataset,Set,Approach,Metric,Value,Method,File
AISHELL-4,,Exact,JER,0.81161,,M_R003S04C01
AISHELL-4,,Exact,Purity,0.52067,,M_R003S04C01
AISHELL-4,,Exact,Coverage,0.38968,,M_R003S04C01
AISHELL-4,,Exact,DER,0.5137,,L_R004S06C01
AISHELL-4,,Exact,JER,0.61835,,L_R004S06C01
AISHELL-4,,Exact,Purity,0.63395,,L_R004S06C01
AISHELL-4,,Exact,Coverage,0.6561,,L_R004S06C01
AISHELL-4,,Exact,DER,0.59889,,M_R003S02C01
AISHELL-4,,Exact,JER,0.7639,,M_R003S02C01
AISHELL-4,,Exact,Purity,0.5904,,M_R003S02C01
AISHELL-4,,Exact,Coverage,0.51601,,M_R003S02C01
AISHELL-4,,Exact,DER,0.5875,,S_R004S03C01
AISHELL-4,,Exact,JER,0.69227,,S_R004S03C01
AISHELL-4,,Exact,Purity,0.56016,,S_R004S03C01
AISHELL-4,,Exact,Coverage,0.62999,,S_R004S03C01
AISHELL-4,,Exact,DER,0.7326,,L_R003S01C02
AISHELL-4,,Exact,JER,0.78746,,L_R003S01C02
AISHELL-4,,Exact,Purity,0.53393,,L_R003S01C02
AISHELL-4,,Exact,Coverage,0.38058,,L_R003S01C02
AISHELL-4,,Exact,DER,0.5842,,L_R004S03C01
AISHELL-4,,Exact,JER,0.78406,,L_R004S03C01
AISHELL-4,,Exact,Purity,0.63037,,L_R004S03C01
AISHELL-4,,Exact,Coverage,0.47113,,L_R004S03C01
AISHELL-4,,Exact,DER,0.68128,,M_R003S05C01
AISHELL-4,,Exact,JER,0.77322,,M_R003S05C01
AISHELL-4,,Exact,Purity,0.5358,,M_R003S05C01
AISHELL-4,,Exact,Coverage,0.51534,,M_R003S05C01
AISHELL-4,,Exact,DER,0.61407,,L_R004S01C01
AISHELL-4,,Exact,JER,0.78754,,L_R004S01C01
AISHELL-4,,Exact,Purity,0.68055,,L_R004S01C01
AISHELL-4,,Exact,Coverage,0.51664,,L_R004S01C01
AISHELL-4,,Exact,DER,0.63925,,S_R003S01C01
AISHELL-4,,Exact,JER,0.73343,,S_R003S01C01
AISHELL-4,,Exact,Purity,0.54959,,S_R003S01C01
AISHELL-4,,Exact,Coverage,0.48493,,S_R003S01C01
AISHELL-4,,Exact,DER,0.57556,,L_R004S02C01
AISHELL-4,,Exact,JER,0.76469,,L_R004S02C01
AISHELL-4,,Exact,Purity,0.64446,,L_R004S02C01
AISHELL-4,,Exact,Coverage,0.49128,,L_R004S02C01
AISHELL-4,,Exact,DER,0.58627,,S_R003S02C01
AISHELL-4,,Exact,JER,0.69134,,S_R003S02C01
AISHELL-4,,Exact,Purity,0.60985,,S_R003S02C01
AISHELL-4,,Exact,Coverage,0.51971,,S_R003S02C01
AISHELL-4,,Exact,DER,0.61519,,M_R003S01C01
AISHELL-4,,Exact,JER,0.73276,,M_R003S01C01
AISHELL-4,,Exact,Purity,0.65924,,M_R003S01C01
AISHELL-4,,Exact,Coverage,0.53139,,M_R003S01C01
AISHELL-4,,Exact,DER,0.53356,,S_R004S02C01
AISHELL-4,,Exact,JER,0.64017,,S_R004S02C01
AISHELL-4,,Exact,Purity,0.64179,,S_R004S02C01
AISHELL-4,,Exact,Coverage,0.63602,,S_R004S02C01
AISHELL-4,,Exact,DER,0.6571,,S_R003S03C01
AISHELL-4,,Exact,JER,0.71788,,S_R003S03C01
AISHELL-4,,Exact,Purity,0.51067,,S_R003S03C01
AISHELL-4,,Exact,Coverage,0.50245,,S_R003S03C01
AISHELL-4,,Exact,DER,0.53664,,S_R004S04C01
AISHELL-4,,Exact,JER,0.6234,,S_R004S04C01
AISHELL-4,,Exact,Purity,0.58364,,S_R004S04C01
AISHELL-4,,Exact,Coverage,0.66105,,S_R004S04C01
AISHELL-4,,Exact,DER,0.87951,,L_R003S04C02
AISHELL-4,,Exact,JER,0.85579,,L_R003S04C02
AISHELL-4,,Exact,Purity,0.55476,,L_R003S04C02
AISHELL-4,,Exact,Coverage,0.35137,,L_R003S04C02
AISHELL-4,,Exact,DER,0.68111,,L_R003S02C02
AISHELL-4,,Exact,JER,0.71548,,L_R003S02C02
AISHELL-4,,Exact,Purity,0.5476,,L_R003S02C02
AISHELL-4,,Exact,Coverage,0.45489,,L_R003S02C02
AISHELL-4,,Exact,DER,0.63603,,S_R003S04C01
AISHELL-4,,Exact,JER,0.77814,,S_R003S04C01
AISHELL-4,,Exact,Purity,0.43334,,S_R003S04C01
AISHELL-4,,Exact,Coverage,0.427,,S_R003S04C01
AMI,,Baseline,DER,0.81768,,IS1009b
AMI,,Baseline,JER,0.73893,,IS1009b
AMI,,Baseline,Purity,0.48676,,IS1009b
AMI,,Baseline,Coverage,0.3054,,IS1009b
AMI,,Baseline,DER,0.79416,,EN2002d
AMI,,Baseline,JER,0.74788,,EN2002d
AMI,,Baseline,Purity,0.4395,,EN2002d
AMI,,Baseline,Coverage,0.28233,,EN2002d
AMI,,Baseline,DER,1.00781,,TS3003c
AMI,,Baseline,JER,0.74444,,TS3003c
AMI,,Baseline,Purity,0.54977,,TS3003c
AMI,,Baseline,Coverage,0.33025,,TS3003c
AMI,,Baseline,DER,0.88206,,ES2004d
AMI,,Baseline,JER,0.75783,,ES2004d
AMI,,Baseline,Purity,0.54467,,ES2004d
AMI,,Baseline,Coverage,0.30272,,ES2004d
AMI,,Baseline,DER,0.9194,,TS3003b
AMI,,Baseline,JER,0.80508,,TS3003b
AMI,,Baseline,Purity,0.5163,,TS3003b
AMI,,Baseline,Coverage,0.27609,,TS3003b
AMI,,Baseline,DER,0.9414,,ES2004a
AMI,,Baseline,JER,0.79909,,ES2004a
AMI,,Baseline,Purity,0.52297,,ES2004a
AMI,,Baseline,Coverage,0.29073,,ES2004a
AMI,,Baseline,DER,0.83737,,IS1009c
AMI,,Baseline,JER,0.70723,,IS1009c
AMI,,Baseline,Purity,0.54221,,IS1009c
AMI,,Baseline,Coverage,0.33233,,IS1009c
AMI,,Baseline,DER,0.80701,,EN2002a
AMI,,Baseline,JER,0.76537,,EN2002a
AMI,,Baseline,Purity,0.43954,,EN2002a
AMI,,Baseline,Coverage,0.26347,,EN2002a
AMI,,Baseline,DER,0.78499,,ES2004c
AMI,,Baseline,JER,0.73107,,ES2004c
AMI,,Baseline,Purity,0.55915,,ES2004c
AMI,,Baseline,Coverage,0.33891,,ES2004c
AMI,,Baseline,DER,1.03916,,TS3003d
AMI,,Baseline,JER,0.81348,,TS3003d
AMI,,Baseline,Purity,0.53889,,TS3003d
AMI,,Baseline,Coverage,0.22315,,TS3003d
AMI,,Baseline,DER,1.06561,,IS1009a
AMI,,Baseline,JER,0.84264,,IS1009a
AMI,,Baseline,Purity,0.56989,,IS1009a
AMI,,Baseline,Coverage,0.21273,,IS1009a
AMI,,Baseline,DER,0.79169,,EN2002c
