Dataset,Set,Approach,Metric,Value,Method,File
VoxConverse,,Exact,Coverage,0.42056,,vzuru
VoxConverse,,Exact,DER,0.87677,,leneg
VoxConverse,,Exact,JER,0.75308,,leneg
VoxConverse,,Exact,Purity,0.76167,,leneg
VoxConverse,,Exact,Coverage,0.27392,,leneg
VoxConverse,,Exact,DER,0.79385,,xffsa
VoxConverse,,Exact,JER,0.90435,,xffsa
VoxConverse,,Exact,Purity,0.77301,,xffsa
VoxConverse,,Exact,Coverage,0.2579,,xffsa
VoxConverse,,Exact,DER,0.73974,,ktvto
VoxConverse,,Exact,JER,0.89431,,ktvto
VoxConverse,,Exact,Purity,0.79166,,ktvto
VoxConverse,,Exact,Coverage,0.35359,,ktvto
VoxConverse,,Exact,DER,0.70711,,ybhwz
VoxConverse,,Exact,JER,0.8323,,ybhwz
VoxConverse,,Exact,Purity,0.49817,,ybhwz
VoxConverse,,Exact,Coverage,0.33126,,ybhwz
VoxConverse,,Exact,DER,0.84473,,diysk
VoxConverse,,Exact,JER,0.91383,,diysk
VoxConverse,,Exact,Purity,0.45994,,diysk
VoxConverse,,Exact,Coverage,0.32438,,diysk
VoxConverse,,Exact,DER,0.72739,,jwggf
VoxConverse,,Exact,JER,0.76241,,jwggf
VoxConverse,,Exact,Purity,0.68086,,jwggf
VoxConverse,,Exact,Coverage,0.37974,,jwggf
VoxConverse,,Exact,DER,0.95354,,bmsyn
VoxConverse,,Exact,JER,0.80065,,bmsyn
VoxConverse,,Exact,Purity,0.50846,,bmsyn
VoxConverse,,Exact,Coverage,0.31561,,bmsyn
VoxConverse,,Exact,DER,0.78739,,qwepo
VoxConverse,,Exact,JER,0.82115,,qwepo
VoxConverse,,Exact,Purity,0.61893,,qwepo
VoxConverse,,Exact,Coverage,0.22918,,qwepo
VoxConverse,,Exact,DER,0.809,,mkhie
VoxConverse,,Exact,JER,0.88693,,mkhie
VoxConverse,,Exact,Purity,0.57376,,mkhie
VoxConverse,,Exact,Coverage,0.32071,,mkhie
VoxConverse,,Exact,DER,1.10401,,zqidv
VoxConverse,,Exact,JER,0.88066,,zqidv
VoxConverse,,Exact,Purity,0.46706,,zqidv
VoxConverse,,Exact,Coverage,0.36952,,zqidv
VoxConverse,,Exact,DER,0.79995,,nitgx
VoxConverse,,Exact,JER,0.94818,,nitgx
VoxConverse,,Exact,Purity,0.51107,,nitgx
VoxConverse,,Exact,Coverage,0.3628,,nitgx
VoxConverse,,Exact,DER,0.67881,,cvofp
VoxConverse,,Exact,JER,0.65812,,cvofp
VoxConverse,,Exact,Purity,0.59756,,cvofp
VoxConverse,,Exact,Coverage,0.42075,,cvofp
VoxConverse,,Exact,DER,0.83476,,jzkzt
VoxConverse,,Exact,JER,0.9177,,jzkzt
VoxConverse,,Exact,Purity,0.57778,,jzkzt
VoxConverse,,Exact,Coverage,0.29571,,jzkzt
VoxConverse,,Exact,DER,0.76168,,pgtkk
VoxConverse,,Exact,JER,0.86019,,pgtkk
VoxConverse,,Exact,Purity,0.41112,,pgtkk
VoxConverse,,Exact,Coverage,0.38495,,pgtkk
VoxConverse,,Exact,DER,0.80219,,xkgos
VoxConverse,,Exact,JER,0.74569,,xkgos
VoxConverse,,Exact,Purity,0.86724,,xkgos
VoxConverse,,Exact,Coverage,0.28772,,xkgos
VoxConverse,,Exact,DER,0.9308,,bgvvt
VoxConverse,,Exact,JER,0.66345,,bgvvt
VoxConverse,,Exact,Purity,0.95874,,bgvvt
VoxConverse,,Exact,Coverage,0.26715,,bgvvt
VoxConverse,,Exact,DER,0.84801,,xggbk
VoxConverse,,Exact,JER,0.90105,,xggbk
VoxConverse,,Exact,Purity,0.44671,,xggbk
VoxConverse,,Exact,Coverage,0.25262,,xggbk
VoxConverse,,Exact,DER,0.93335,,epygx
VoxConverse,,Exact,JER,0.8936,,epygx
VoxConverse,,Exact,Purity,0.49261,,epygx
VoxConverse,,Exact,Coverage,0.24962,,epygx
VoxConverse,,Exact,DER,0.82558,,oubab
VoxConverse,,Exact,JER,0.71726,,oubab
VoxConverse,,Exact,Purity,0.60128,,oubab
VoxConverse,,Exact,Coverage,0.34525,,oubab
VoxConverse,,Exact,DER,0.76083,,lpola
VoxConverse,,Exact,JER,0.79386,,lpola
VoxConverse,,Exact,Purity,0.72605,,lpola
VoxConverse,,Exact,Coverage,0.31759,,lpola
VoxConverse,,Exact,DER,0.83677,,jttar
VoxConverse,,Exact,JER,0.9232,,jttar
VoxConverse,,Exact,Purity,0.96201,,jttar
VoxConverse,,Exact,Coverage,0.23337,,jttar
VoxConverse,,Exact,DER,0.9116,,wwvcs
VoxConverse,,Exact,JER,0.81555,,wwvcs
VoxConverse,,Exact,Purity,0.66989,,wwvcs
VoxConverse,,Exact,Coverage,0.34089,,wwvcs
VoxConverse,,Exact,DER,1.0894,,vtzqw
VoxConverse,,Exact,JER,0.88532,,vtzqw
VoxConverse,,Exact,Purity,0.79129,,vtzqw
VoxConverse,,Exact,Coverage,0.38492,,vtzqw
VoxConverse,,Exact,DER,0.77068,,pzxit
VoxConverse,,Exact,JER,0.84759,,pzxit
VoxConverse,,Exact,Purity,0.48826,,pzxit
VoxConverse,,Exact,Coverage,0.29451,,pzxit
VoxConverse,,Exact,DER,0.67111,,vuewy
VoxConverse,,Exact,JER,0.73405,,vuewy
VoxConverse,,Exact,Purity,0.56944,,vuewy
VoxConverse,,Exact,Coverage,0.3647,,vuewy
VoxConverse,,Exact,DER,0.71106,,utial
VoxConverse,,Exact,JER,0.89444,,utial
VoxConverse,,Exact,Purity,0.78772,,utial
VoxConverse,,Exact,Coverage,0.31713,,utial
VoxConverse,,Exact,DER,0.80784,,pwnsw
VoxConverse,,Exact,JER,0.93922,,pwnsw
VoxConverse,,Exact,Purity,0.82929,,pwnsw
VoxConverse,,Exact,Coverage,0.27965,,pwnsw
VoxConverse,,Exact,DER,0.76925,,tbjqx
VoxConverse,,Exact,JER,0.86698,,tbjqx
VoxConverse,,Exact,Purity,0.68178,,tbjqx
VoxConverse,,Exact,Coverage,0.30739,,tbjqx
VoxConverse,,Exact,DER,0.77772,,mbzht
VoxConverse,,Exact,JER,0.82802,,mbzht
VoxConverse,,Exact,Purity,0.70698,,mbzht
VoxConverse,,Exact,Coverage,0.30069,,mbzht
VoxConverse,,Exact,DER,0.80169,,rxulz
VoxConverse,,Exact,JER,0.87346,,rxulz
VoxConverse,,Exact,Purity,0.53963,,rxulz
VoxConverse,,Exact,Coverage,0.30847,,rxulz
VoxConverse,,Exact,DER,0.87267,,bjruf
VoxConverse,,Exact,JER,0.79192,,bjruf
VoxConverse,,Exact,Purity,0.67682,,bjruf
VoxConverse,,Exact,Coverage,0.21309,,bjruf
VoxConverse,,Exact,DER,0.84399,,kgjaa
VoxConverse,,Exact,JER,0.90886,,kgjaa
VoxConverse,,Exact,Purity,0.48357,,kgjaa
VoxConverse,,Exact,Coverage,0.24417,,kgjaa
VoxConverse,,Exact,DER,0.7418,,bidnq
VoxConverse,,Exact,JER,0.88161,,bidnq
VoxConverse,,Exact,Purity,0.63642,,bidnq
VoxConverse,,Exact,Coverage,0.30008,,bidnq
VoxConverse,,Exact,DER,0.69453,,tpslg
VoxConverse,,Exact,JER,0.72561,,tpslg
VoxConverse,,Exact,Purity,0.6018,,tpslg
VoxConverse,,Exact,Coverage,0.35846,,tpslg
VoxConverse,,Exact,DER,1.01141,,isxwc
VoxConverse,,Exact,JER,0.83387,,isxwc
VoxConverse,,Exact,Purity,0.77743,,isxwc
VoxConverse,,Exact,Coverage,0.27335,,isxwc
VoxConverse,,Exact,DER,0.78916,,hqhrb
VoxConverse,,Exact,JER,0.78922,,hqhrb
VoxConverse,,Exact,Purity,0.59493,,hqhrb
VoxConverse,,Exact,Coverage,0.37732,,hqhrb
VoxConverse,,Exact,DER,0.77645,,wcxfk
VoxConverse,,Exact,JER,0.79501,,wcxfk
VoxConverse,,Exact,Purity,0.48694,,wcxfk
VoxConverse,,Exact,Coverage,0.23344,,wcxfk
VoxConverse,,Exact,DER,0.79625,,gmmwm
VoxConverse,,Exact,JER,0.68099,,gmmwm
VoxConverse,,Exact,Purity,0.86295,,gmmwm
VoxConverse,,Exact,Coverage,0.33599,,gmmwm
VoxConverse,,Exact,DER,0.76935,,bvqnu
VoxConverse,,Exact,JER,0.87841,,bvqnu
VoxConverse,,Exact,Purity,0.53774,,bvqnu
VoxConverse,,Exact,Coverage,0.33116,,bvqnu
VoxConverse,,Exact,DER,0.80577,,nlvdr
VoxConverse,,Exact,JER,0.84569,,nlvdr
VoxConverse,,Exact,Purity,0.43258,,nlvdr
VoxConverse,,Exact,Coverage,0.41416,,nlvdr
VoxConverse,,Exact,DER,0.86094,,qxana
VoxConverse,,Exact,JER,0.92536,,qxana
VoxConverse,,Exact,Purity,0.55048,,qxana
VoxConverse,,Exact,Coverage,0.27321,,qxana
VoxConverse,,Exact,DER,0.76069,,ocfop
VoxConverse,,Exact,JER,0.74513,,ocfop
VoxConverse,,Exact,Purity,0.75882,,ocfop
VoxConverse,,Exact,Coverage,0.25863,,ocfop
VoxConverse,,Exact,DER,1.2218,,sxqvt
VoxConverse,,Exact,JER,0.83312,,sxqvt
VoxConverse,,Exact,Purity,0.97556,,sxqvt
VoxConverse,,Exact,Coverage,0.18787,,sxqvt
VoxConverse,,Exact,DER,0.94707,,kajfh
VoxConverse,,Exact,JER,0.8975,,kajfh
VoxConverse,,Exact,Purity,0.42816,,kajfh
VoxConverse,,Exact,Coverage,0.38128,,kajfh
VoxConverse,,Exact,DER,0.86543,,bpzsc
VoxConverse,,Exact,JER,0.93681,,bpzsc
VoxConverse,,Exact,Purity,0.82413,,bpzsc
VoxConverse,,Exact,Coverage,0.1889,,bpzsc
VoxConverse,,Exact,DER,0.87601,,zedtj
VoxConverse,,Exact,JER,0.86934,,zedtj
VoxConverse,,Exact,Purity,0.5563,,zedtj
VoxConverse,,Exact,Coverage,0.24975,,zedtj
VoxConverse,,Exact,DER,0.88656,,xlyov
VoxConverse,,Exact,JER,0.84633,,xlyov
VoxConverse,,Exact,Purity,1.0,,xlyov
VoxConverse,,Exact,Coverage,0.15387,,xlyov
VoxConverse,,Exact,DER,0.49676,,uevxo
VoxConverse,,Exact,JER,0.69341,,uevxo
VoxConverse,,Exact,Purity,0.58053,,uevxo
VoxConverse,,Exact,Coverage,0.55774,,uevxo
VoxConverse,,Exact,DER,0.63968,,gkiki
VoxConverse,,Exact,JER,0.72523,,gkiki
VoxConverse,,Exact,Purity,0.6689,,gkiki
VoxConverse,,Exact,Coverage,0.49088,,gkiki
VoxConverse,,Exact,DER,0.74837,,ytula
VoxConverse,,Exact,JER,0.73614,,ytula
VoxConverse,,Exact,Purity,0.53753,,ytula
VoxConverse,,Exact,Coverage,0.46182,,ytula
VoxConverse,,Exact,DER,0.61076,,kpjud
VoxConverse,,Exact,JER,0.6968,,kpjud
VoxConverse,,Exact,Purity,0.67925,,kpjud
VoxConverse,,Exact,Coverage,0.45681,,kpjud
VoxConverse,,Exact,DER,0.85326,,jxpom
VoxConverse,,Exact,JER,0.86417,,jxpom
VoxConverse,,Exact,Purity,0.58269,,jxpom
VoxConverse,,Exact,Coverage,0.32222,,jxpom
VoxConverse,,Exact,DER,0.8343,,optsn
VoxConverse,,Exact,JER,0.89478,,optsn
VoxConverse,,Exact,Purity,0.76461,,optsn
VoxConverse,,Exact,Coverage,0.33847,,optsn
ThisAmericanLife,,Baseline,DER,0.7462,,416
ThisAmericanLife,,Baseline,JER,0.90652,,416
ThisAmericanLife,,Baseline,Purity,0.5099,,416
ThisAmericanLife,,Baseline,Coverage,0.31667,,416
ThisAmericanLife,,Baseline,DER,0.66713,,437
ThisAmericanLife,,Baseline,JER,0.90032,,437
ThisAmericanLife,,Baseline,Purity,0.47366,,437
ThisAmericanLife,,Baseline,Coverage,0.44694,,437
ThisAmericanLife,,Baseline,DER,0.67082,,113
ThisAmericanLife,,Baseline,JER,0.90486,,113
ThisAmericanLife,,Baseline,Purity,0.44802,,113
ThisAmericanLife,,Baseline,Coverage,0.38717,,113
ThisAmericanLife,,Baseline,DER,0.74182,,683
ThisAmericanLife,,Baseline,JER,0.95033,,683
ThisAmericanLife,,Baseline,Purity,0.37257,,683
ThisAmericanLife,,Baseline,Coverage,0.3588,,683
ThisAmericanLife,,Baseline,DER,0.72081,,78
ThisAmericanLife,,Baseline,JER,0.93266,,78
ThisAmericanLife,,Baseline,Purity,0.54222,,78
ThisAmericanLife,,Baseline,Coverage,0.40609,,78
ThisAmericanLife,,Baseline,DER,0.71046,,665
ThisAmericanLife,,Baseline,JER,0.94091,,665
ThisAmericanLife,,Baseline,Purity,0.3996,,665
ThisAmericanLife,,Baseline,Coverage,0.37009,,665
ThisAmericanLife,,Baseline,DER,0.65517,,527
ThisAmericanLife,,Baseline,JER,0.93361,,527
ThisAmericanLife,,Baseline,Purity,0.39845,,527
ThisAmericanLife,,Baseline,Coverage,0.44806,,527
ThisAmericanLife,,Baseline,DER,0.72327,,548
ThisAmericanLife,,Baseline,JER,0.92412,,548
ThisAmericanLife,,Baseline,Purity,0.3805,,548
ThisAmericanLife,,Baseline,Coverage,0.40962,,548
ThisAmericanLife,,Baseline,DER,0.66801,,522
ThisAmericanLife,,Baseline,JER,0.8999,,522
ThisAmericanLife,,Baseline,Purity,0.42505,,522
ThisAmericanLife,,Baseline,Coverage,0.48326,,522
ThisAmericanLife,,Baseline,DER,0.71661,,403
ThisAmericanLife,,Baseline,JER,0.94084,,403
ThisAmericanLife,,Baseline,Purity,0.48724,,403
ThisAmericanLife,,Baseline,Coverage,0.4152,,403
ThisAmericanLife,,Baseline,DER,0.73386,,558
ThisAmericanLife,,Baseline,JER,0.91708,,558
ThisAmericanLife,,Baseline,Purity,0.46071,,558
ThisAmericanLife,,Baseline,Coverage,0.35233,,558
ThisAmericanLife,,Baseline,DER,0.7697,,524
ThisAmericanLife,,Baseline,JER,0.94064,,524
ThisAmericanLife,,Baseline,Purity,0.28732,,524
ThisAmericanLife,,Baseline,Coverage,0.36296,,524
ThisAmericanLife,,Baseline,DER,0.69952,,120
ThisAmericanLife,,Baseline,JER,0.94681,,120
ThisAmericanLife,,Baseline,Purity,0.43315,,120
ThisAmericanLife,,Baseline,Coverage,0.42134,,120
ThisAmericanLife,,Baseline,DER,0.82821,,619
ThisAmericanLife,,Baseline,JER,0.90671,,619
ThisAmericanLife,,Baseline,Purity,0.39569,,619
ThisAmericanLife,,Baseline,Coverage,0.26603,,619
ThisAmericanLife,,Baseline,DER,0.72129,,493
ThisAmericanLife,,Baseline,JER,0.92636,,493
ThisAmericanLife,,Baseline,Purity,0.43564,,493
ThisAmericanLife,,Baseline,Coverage,0.3924,,493
ThisAmericanLife,,Baseline,DER,0.77502,,164
ThisAmericanLife,,Baseline,JER,0.92768,,164
ThisAmericanLife,,Baseline,Purity,0.31069,,164
ThisAmericanLife,,Baseline,Coverage,0.32703,,164
ThisAmericanLife,,Baseline,DER,0.71898,,456
ThisAmericanLife,,Baseline,JER,0.91408,,456
ThisAmericanLife,,Baseline,Purity,0.53933,,456
ThisAmericanLife,,Baseline,Coverage,0.33783,,456
ThisAmericanLife,,Baseline,DER,0.72853,,648
ThisAmericanLife,,Baseline,JER,0.94203,,648
ThisAmericanLife,,Baseline,Purity,0.32272,,648
ThisAmericanLife,,Baseline,Coverage,0.36268,,648
ThisAmericanLife,,Baseline,DER,0.74549,,270
ThisAmericanLife,,Baseline,JER,0.89184,,270
ThisAmericanLife,,Baseline,Purity,0.34064,,270
ThisAmericanLife,,Baseline,Coverage,0.39351,,270
ThisAmericanLife,,Baseline,DER,0.78287,,682
ThisAmericanLife,,Baseline,JER,0.81762,,682
ThisAmericanLife,,Baseline,Purity,0.74032,,682
ThisAmericanLife,,Baseline,Coverage,0.24635,,682
ThisAmericanLife,,Baseline,DER,0.81447,,489
ThisAmericanLife,,Baseline,JER,0.96526,,489
ThisAmericanLife,,Baseline,Purity,0.40753,,489
ThisAmericanLife,,Baseline,Coverage,0.39754,,489
ThisAmericanLife,,Baseline,DER,0.73496,,355
ThisAmericanLife,,Baseline,JER,0.93011,,355
ThisAmericanLife,,Baseline,Purity,0.42595,,355
ThisAmericanLife,,Baseline,Coverage,0.33784,,355
ThisAmericanLife,,Exact,DER,0.75266,,416
ThisAmericanLife,,Exact,JER,0.89293,,416
ThisAmericanLife,,Exact,Purity,0.58213,,416
ThisAmericanLife,,Exact,Coverage,0.30539,,416
ThisAmericanLife,,Exact,DER,0.66336,,437
ThisAmericanLife,,Exact,JER,0.85389,,437
ThisAmericanLife,,Exact,Purity,0.54345,,437
ThisAmericanLife,,Exact,Coverage,0.37081,,437
ThisAmericanLife,,Exact,DER,0.79434,,171
ThisAmericanLife,,Exact,JER,0.9124,,171
ThisAmericanLife,,Exact,Purity,0.37674,,171
ThisAmericanLife,,Exact,Coverage,0.24288,,171
ThisAmericanLife,,Exact,DER,0.7152,,113
ThisAmericanLife,,Exact,JER,0.88913,,113
ThisAmericanLife,,Exact,Purity,0.50963,,113
ThisAmericanLife,,Exact,Coverage,0.32049,,113
ThisAmericanLife,,Exact,DER,0.84283,,683
ThisAmericanLife,,Exact,JER,0.92516,,683
ThisAmericanLife,,Exact,Purity,0.40332,,683
ThisAmericanLife,,Exact,Coverage,0.21231,,683
ThisAmericanLife,,Exact,DER,0.75743,,78
ThisAmericanLife,,Exact,JER,0.88366,,78
ThisAmericanLife,,Exact,Purity,0.60392,,78
ThisAmericanLife,,Exact,Coverage,0.30348,,78
ThisAmericanLife,,Exact,DER,0.76756,,432
ThisAmericanLife,,Exact,JER,0.86713,,432
ThisAmericanLife,,Exact,Purity,0.4341,,432
ThisAmericanLife,,Exact,Coverage,0.30979,,432
ThisAmericanLife,,Exact,DER,0.78501,,665
ThisAmericanLife,,Exact,JER,0.91482,,665
ThisAmericanLife,,Exact,Purity,0.44899,,665
ThisAmericanLife,,Exact,Coverage,0.24154,,665
ThisAmericanLife,,Exact,DER,0.77079,,527
ThisAmericanLife,,Exact,JER,0.90987,,527
ThisAmericanLife,,Exact,Purity,0.46606,,527
ThisAmericanLife,,Exact,Coverage,0.27379,,527
ThisAmericanLife,,Exact,DER,0.75142,,548
ThisAmericanLife,,Exact,JER,0.8666,,548
ThisAmericanLife,,Exact,Purity,0.40757,,548
ThisAmericanLife,,Exact,Coverage,0.27332,,548
ThisAmericanLife,,Exact,DER,0.6414,,343
ThisAmericanLife,,Exact,JER,0.8276,,343
ThisAmericanLife,,Exact,Purity,0.46366,,343
ThisAmericanLife,,Exact,Coverage,0.39588,,343
ThisAmericanLife,,Exact,DER,0.68612,,522
ThisAmericanLife,,Exact,JER,0.86938,,522
ThisAmericanLife,,Exact,Purity,0.50418,,522
ThisAmericanLife,,Exact,Coverage,0.37357,,522
ThisAmericanLife,,Exact,DER,0.81523,,403
ThisAmericanLife,,Exact,JER,0.90463,,403
ThisAmericanLife,,Exact,Purity,0.50343,,403
ThisAmericanLife,,Exact,Coverage,0.24603,,403
ThisAmericanLife,,Exact,DER,0.79445,,558
ThisAmericanLife,,Exact,JER,0.91277,,558
ThisAmericanLife,,Exact,Purity,0.47094,,558
ThisAmericanLife,,Exact,Coverage,0.26363,,558
ThisAmericanLife,,Exact,DER,0.7365,,195
ThisAmericanLife,,Exact,JER,0.88073,,195
ThisAmericanLife,,Exact,Purity,0.48674,,195
ThisAmericanLife,,Exact,Coverage,0.30962,,195
ThisAmericanLife,,Exact,DER,0.81019,,524
ThisAmericanLife,,Exact,JER,0.9059,,524
ThisAmericanLife,,Exact,Purity,0.37175,,524
ThisAmericanLife,,Exact,Coverage,0.24076,,524
ThisAmericanLife,,Exact,DER,0.84076,,619
ThisAmericanLife,,Exact,JER,0.88316,,619
ThisAmericanLife,,Exact,Purity,0.40701,,619
ThisAmericanLife,,Exact,Coverage,0.24054,,619
ThisAmericanLife,,Exact,DER,0.73817,,493
ThisAmericanLife,,Exact,JER,0.89472,,493
ThisAmericanLife,,Exact,Purity,0.50564,,493
ThisAmericanLife,,Exact,Coverage,0.31083,,493
ThisAmericanLife,,Exact,DER,0.73898,,177
ThisAmericanLife,,Exact,JER,0.88796,,177
ThisAmericanLife,,Exact,Purity,0.42918,,177
ThisAmericanLife,,Exact,Coverage,0.28289,,177
ThisAmericanLife,,Exact,DER,0.69214,,242
ThisAmericanLife,,Exact,JER,0.83743,,242
ThisAmericanLife,,Exact,Purity,0.41788,,242
ThisAmericanLife,,Exact,Coverage,0.35321,,242
ThisAmericanLife,,Exact,DER,0.77575,,164
ThisAmericanLife,,Exact,JER,0.90496,,164
ThisAmericanLife,,Exact,Purity,0.38522,,164
ThisAmericanLife,,Exact,Coverage,0.2691,,164
ThisAmericanLife,,Exact,DER,0.76812,,475
ThisAmericanLife,,Exact,JER,0.88574,,475
ThisAmericanLife,,Exact,Purity,0.38231,,475
ThisAmericanLife,,Exact,Coverage,0.30167,,475
ThisAmericanLife,,Exact,DER,0.73342,,456
ThisAmericanLife,,Exact,JER,0.87801,,456
ThisAmericanLife,,Exact,Purity,0.56828,,456
ThisAmericanLife,,Exact,Coverage,0.30735,,456
ThisAmericanLife,,Exact,DER,0.62296,,11
ThisAmericanLife,,Exact,JER,0.8149,,11
ThisAmericanLife,,Exact,Purity,0.61364,,11
ThisAmericanLife,,Exact,Coverage,0.40297,,11
ThisAmericanLife,,Exact,DER,0.80877,,648
ThisAmericanLife,,Exact,JER,0.92515,,648
ThisAmericanLife,,Exact,Purity,0.37083,,648
ThisAmericanLife,,Exact,Coverage,0.21891,,648
ThisAmericanLife,,Exact,DER,0.85571,,382
ThisAmericanLife,,Exact,JER,0.93049,,382
ThisAmericanLife,,Exact,Purity,0.41882,,382
ThisAmericanLife,,Exact,Coverage,0.18195,,382
ThisAmericanLife,,Exact,DER,0.69393,,270
ThisAmericanLife,,Exact,JER,0.78785,,270
ThisAmericanLife,,Exact,Purity,0.38573,,270
ThisAmericanLife,,Exact,Coverage,0.37622,,270
ThisAmericanLife,,Exact,DER,0.86188,,635
ThisAmericanLife,,Exact,JER,0.95551,,635
ThisAmericanLife,,Exact,Purity,0.53625,,635
ThisAmericanLife,,Exact,Coverage,0.15475,,635
ThisAmericanLife,,Exact,DER,0.73682,,516
ThisAmericanLife,,Exact,JER,0.84436,,516
ThisAmericanLife,,Exact,Purity,0.44367,,516
ThisAmericanLife,,Exact,Coverage,0.36972,,516
ThisAmericanLife,,Exact,DER,0.62311,,682
ThisAmericanLife,,Exact,JER,0.80671,,682
ThisAmericanLife,,Exact,Purity,0.74032,,682
ThisAmericanLife,,Exact,Coverage,0.4157,,682
ThisAmericanLife,,Exact,DER,0.84184,,489
ThisAmericanLife,,Exact,JER,0.92163,,489
ThisAmericanLife,,Exact,Purity,0.46317,,489
ThisAmericanLife,,Exact,Coverage,0.25814,,489
ThisAmericanLife,,Exact,DER,0.81591,,355
ThisAmericanLife,,Exact,JER,0.9184,,355
ThisAmericanLife,,Exact,Purity,0.45224,,355
ThisAmericanLife,,Exact,Coverage,0.22518,,355
RAMC,,Baseline,DER,1.239,,CTS-CN-F2F-2019-11-15-150
RAMC,,Baseline,JER,0.75945,,CTS-CN-F2F-2019-11-15-150
RAMC,,Baseline,Purity,0.90939,,CTS-CN-F2F-2019-11-15-150
RAMC,,Baseline,Coverage,0.35301,,CTS-CN-F2F-2019-11-15-150
RAMC,,Baseline,DER,0.83898,,CTS-CN-F2F-2019-11-15-3
RAMC,,Baseline,JER,0.80288,,CTS-CN-F2F-2019-11-15-3
RAMC,,Baseline,Purity,0.78975,,CTS-CN-F2F-2019-11-15-3
RAMC,,Baseline,Coverage,0.29254,,CTS-CN-F2F-2019-11-15-3
RAMC,,Baseline,DER,0.81914,,CTS-CN-F2F-2019-11-15-91
RAMC,,Baseline,JER,0.75386,,CTS-CN-F2F-2019-11-15-91
RAMC,,Baseline,Purity,0.7983,,CTS-CN-F2F-2019-11-15-91
RAMC,,Baseline,Coverage,0.33708,,CTS-CN-F2F-2019-11-15-91
RAMC,,Baseline,DER,0.94725,,CTS-CN-F2F-2019-11-15-135
RAMC,,Baseline,JER,0.82472,,CTS-CN-F2F-2019-11-15-135
RAMC,,Baseline,Purity,0.85406,,CTS-CN-F2F-2019-11-15-135
RAMC,,Baseline,Coverage,0.22473,,CTS-CN-F2F-2019-11-15-135
RAMC,,Baseline,DER,1.03169,,CTS-CN-F2F-2019-11-15-101
RAMC,,Baseline,JER,0.80351,,CTS-CN-F2F-2019-11-15-101
RAMC,,Baseline,Purity,0.70939,,CTS-CN-F2F-2019-11-15-101
RAMC,,Baseline,Coverage,0.29166,,CTS-CN-F2F-2019-11-15-101
RAMC,,Baseline,DER,0.93005,,CTS-CN-F2F-2019-11-15-45
RAMC,,Baseline,JER,0.82815,,CTS-CN-F2F-2019-11-15-45
RAMC,,Baseline,Purity,0.6489,,CTS-CN-F2F-2019-11-15-45
RAMC,,Baseline,Coverage,0.26475,,CTS-CN-F2F-2019-11-15-45
RAMC,,Baseline,DER,0.7565,,CTS-CN-F2F-2019-11-15-121
RAMC,,Baseline,JER,0.83799,,CTS-CN-F2F-2019-11-15-121
RAMC,,Baseline,Purity,0.66733,,CTS-CN-F2F-2019-11-15-121
RAMC,,Baseline,Coverage,0.28899,,CTS-CN-F2F-2019-11-15-121
RAMC,,Baseline,DER,0.7599,,CTS-CN-F2F-2019-11-15-77
RAMC,,Baseline,JER,0.79343,,CTS-CN-F2F-2019-11-15-77
RAMC,,Baseline,Purity,0.90964,,CTS-CN-F2F-2019-11-15-77
RAMC,,Baseline,Coverage,0.31024,,CTS-CN-F2F-2019-11-15-77
RAMC,,Baseline,DER,1.32438,,CTS-CN-F2F-2019-11-15-144
RAMC,,Baseline,JER,0.85014,,CTS-CN-F2F-2019-11-15-144
RAMC,,Baseline,Purity,0.46826,,CTS-CN-F2F-2019-11-15-144
RAMC,,Baseline,Coverage,0.20357,,CTS-CN-F2F-2019-11-15-144
RAMC,,Baseline,DER,0.9631,,CTS-CN-F2F-2019-11-15-65
RAMC,,Baseline,JER,0.81534,,CTS-CN-F2F-2019-11-15-65
RAMC,,Baseline,Purity,0.80277,,CTS-CN-F2F-2019-11-15-65
RAMC,,Baseline,Coverage,0.27415,,CTS-CN-F2F-2019-11-15-65
RAMC,,Baseline,DER,0.91547,,CTS-CN-F2F-2019-11-15-142
RAMC,,Baseline,JER,0.80472,,CTS-CN-F2F-2019-11-15-142
RAMC,,Baseline,Purity,0.75733,,CTS-CN-F2F-2019-11-15-142
RAMC,,Baseline,Coverage,0.26362,,CTS-CN-F2F-2019-11-15-142
RAMC,,Baseline,DER,1.01395,,CTS-CN-F2F-2019-11-15-123
RAMC,,Baseline,JER,0.88565,,CTS-CN-F2F-2019-11-15-123
RAMC,,Baseline,Purity,0.54103,,CTS-CN-F2F-2019-11-15-123
RAMC,,Baseline,Coverage,0.18449,,CTS-CN-F2F-2019-11-15-123
RAMC,,Baseline,DER,0.83948,,CTS-CN-F2F-2019-11-11-423
RAMC,,Baseline,JER,0.81613,,CTS-CN-F2F-2019-11-11-423
RAMC,,Baseline,Purity,0.84058,,CTS-CN-F2F-2019-11-11-423
RAMC,,Baseline,Coverage,0.27144,,CTS-CN-F2F-2019-11-11-423
RAMC,,Baseline,DER,0.82524,,CTS-CN-F2F-2019-11-15-126
RAMC,,Baseline,JER,0.78611,,CTS-CN-F2F-2019-11-15-126
RAMC,,Baseline,Purity,0.94339,,CTS-CN-F2F-2019-11-15-126
RAMC,,Baseline,Coverage,0.30337,,CTS-CN-F2F-2019-11-15-126
RAMC,,Baseline,DER,0.83109,,CTS-CN-F2F-2019-11-15-138
RAMC,,Baseline,JER,0.77692,,CTS-CN-F2F-2019-11-15-138
