D,Spk,OS,SNR,DER
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],17.583
(1.071 - 2.033],(5 - 7],(2.0 - 3.0],(29.0 - 35.0],10.591
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],5.971
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],6.099
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.499
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],24.715
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],13.809
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],10.664
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],19.953
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(16.0 - 20.0],34.475
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],7.196
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],7.937
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.495
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],9.219
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(29.0 - 35.0],5.53
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],0.792
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],8.861
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],12.022
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],28.502
(2.033 - 5.318],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],10.541
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(24.8 - 29.0],27.543
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],6.831
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],11.937
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(29.0 - 35.0],11.639
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(16.0 - 20.0],3.186
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],4.639
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],1.91
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],14.974
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],9.064
(2.033 - 5.318],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],19.075
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],6.851
(1.071 - 2.033],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],36.063
(2.033 - 5.318],(3 - 4],(2.0 - 3.0],(24.8 - 29.0],11.183
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],65.088
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],3.066
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(20.0 - 24.8],21.083
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],7.505
(1.071 - 2.033],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],17.429
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],5.363
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],12.6
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],23.746
(0.522 - 0.713],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],13.474
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],15.211
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],8.492
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(13.0 - 16.0],4.558
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],9.81
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],11.346
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],11.777
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(13.0 - 16.0],19.96
(5.318 - 18.792],(10 - 41],(3.0 - 5.0],(16.0 - 20.0],29.434
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],8.229
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],9.22
(18.792 - 30.494],[1 - 2],(9.0 - 14.0],(35.0 - 59.0],6.567
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],24.63
