D,Spk,OS,SNR,DER
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],29.84
(1.071 - 2.033],(5 - 7],(2.0 - 3.0],(29.0 - 35.0],6.407
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],25.919
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],6.028
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],14.355
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],27.814
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],18.932
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],12.665
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],16.249
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(16.0 - 20.0],36.708
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],8.411
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],11.041
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],3.684
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],18.765
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(29.0 - 35.0],17.023
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],2.424
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],8.582
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],20.999
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],36.833
(2.033 - 5.318],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],18.47
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(24.8 - 29.0],35.52
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],18.337
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],15.559
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(29.0 - 35.0],21.746
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(16.0 - 20.0],5.161
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],6.439
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],1.611
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],13.784
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],27.313
(2.033 - 5.318],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],16.251
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],10.118
(1.071 - 2.033],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],15.749
(2.033 - 5.318],(3 - 4],(2.0 - 3.0],(24.8 - 29.0],11.72
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],98.661
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],2.623
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(20.0 - 24.8],23.72
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],8.803
(1.071 - 2.033],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],19.598
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],5.157
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],3.232
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],32.173
(0.522 - 0.713],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],5.714
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],34.711
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],22.854
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(13.0 - 16.0],8.092
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],10.013
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],15.84
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],12.517
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(13.0 - 16.0],9.952
(5.318 - 18.792],(10 - 41],(3.0 - 5.0],(16.0 - 20.0],33.51
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],9.147
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],11.66
(18.792 - 30.494],[1 - 2],(9.0 - 14.0],(35.0 - 59.0],17.687
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],25.07
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],34.157
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],9.546
(18.792 - 30.494],(7 - 10],(3.0 - 5.0],(35.0 - 59.0],11.943
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],7.091
(5.318 - 18.792],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],18.068
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(35.0 - 59.0],4.586
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],13.798
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],12.231
(18.792 - 30.494],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],17.484
