D,Spk,OS,SNR,JER
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],65.702
(1.071 - 2.033],(5 - 7],(2.0 - 3.0],(29.0 - 35.0],26.077
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],13.979
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],51.548
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.939
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],65.21
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],56.17
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],10.468
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],45.145
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(16.0 - 20.0],64.077
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],34.517
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],10.299
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],2.536
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],52.583
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(29.0 - 35.0],7.161
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],34.043
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],14.805
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],15.667
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],79.61
(2.033 - 5.318],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],20.488
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(24.8 - 29.0],31.928
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],26.379
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],16.657
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(29.0 - 35.0],45.191
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(16.0 - 20.0],3.698
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],27.775
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],1.872
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],15.915
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],7.442
(2.033 - 5.318],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],35.98
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],16.892
(1.071 - 2.033],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],82.125
(2.033 - 5.318],(3 - 4],(2.0 - 3.0],(24.8 - 29.0],14.258
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],87.632
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],7.426
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(20.0 - 24.8],48.423
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],7.357
(1.071 - 2.033],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],59.373
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],5.839
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],30.208
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],40.401
(0.522 - 0.713],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],35.182
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],54.835
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],14.552
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(13.0 - 16.0],4.487
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],40.847
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],29.527
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],45.189
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(13.0 - 16.0],43.349
(5.318 - 18.792],(10 - 41],(3.0 - 5.0],(16.0 - 20.0],60.911
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],8.524
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],8.928
(18.792 - 30.494],[1 - 2],(9.0 - 14.0],(35.0 - 59.0],6.84
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],24.26
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],76.343
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],12.355
(18.792 - 30.494],(7 - 10],(3.0 - 5.0],(35.0 - 59.0],8.241
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],5.082
(5.318 - 18.792],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],31.336
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(35.0 - 59.0],3.322
