D,Spk,OS,SNR,JER
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],19.335
(30.494 - 34.87],[1 - 2],(1.0 - 2.0],(16.0 - 20.0],12.494
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],21.662
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],13.404
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],22.839
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],20.69
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],13.738
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],15.082
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],15.696
(30.494 - 34.87],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],14.149
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],6.712
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],15.361
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],9.216
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],13.347
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],18.612
(30.494 - 34.87],[1 - 2],(1.0 - 2.0],(16.0 - 20.0],16.252
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.127
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],12.159
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],14.084
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],33.933
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],8.84
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],21.435
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],16.284
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],12.801
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],15.427
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],14.366
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],10.671
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],8.671
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],24.898
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],15.15
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],12.582
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],15.614
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],10.497
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],21.845
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],9.631
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],13.85
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],2.927
(30.494 - 34.87],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],7.908
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],10.46
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],34.027
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],12.507
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],7.519
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],4.741
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],8.132
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],21.549
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],11.525
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],4.497
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],7.826
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],7.29
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],19.166
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],9.744
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],13.354
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],7.982
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],6.004
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],5.203
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],59.209
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],(35.0 - 59.0],5.4
(18.792 - 30.494],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],4.406
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],11.152
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],17.624
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],10.25
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],10.139
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],20.311
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],9.124
(34.87 - 95.677],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],3.288
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],18.375
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],21.232
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 35.0],4.982
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],22.082
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],10.358
(34.87 - 95.677],(4 - 5],[0.0 - 1.0],(35.0 - 59.0],5.519
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],44.992
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],8.552
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],21.161
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],6.012
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],39.413
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],4.316
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],20.011
(34.87 - 95.677],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],7.612
(34.87 - 95.677],(7 - 10],[0.0 - 1.0],(24.8 - 29.0],28.524
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],39.871
(0.335 - 0.411],(2 - 3],(9.0 - 14.0],(4.0 - 7.0],63.42
(0.713 - 1.071],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],17.438
(0.335 - 0.411],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],62.701
(0.713 - 1.071],[1 - 2],(5.0 - 9.0],(4.0 - 7.0],28.675
(0.713 - 1.071],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],84.267
(0.713 - 1.071],[1 - 2],(3.0 - 5.0],(24.8 - 29.0],7.018
(1.071 - 2.033],(3 - 4],(2.0 - 3.0],(7.0 - 10.0],61.902
(0.411 - 0.522],(3 - 4],(14.0 - 93.0],[0.0 - 4.0],68.971
(0.522 - 0.713],[1 - 2],(5.0 - 9.0],(7.0 - 10.0],38.597
(0.522 - 0.713],[1 - 2],(9.0 - 14.0],(13.0 - 16.0],9.311
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],2.384
(1.071 - 2.033],(3 - 4],(9.0 - 14.0],(10.0 - 13.0],70.755
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],50.52
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(7.0 - 10.0],39.527
(1.071 - 2.033],[1 - 2],(2.0 - 3.0],(24.8 - 29.0],6.597
(0.522 - 0.713],(2 - 3],(14.0 - 93.0],(7.0 - 10.0],49.053
(0.335 - 0.411],(2 - 3],(14.0 - 93.0],[0.0 - 4.0],51.802
(0.411 - 0.522],(3 - 4],(5.0 - 9.0],[0.0 - 4.0],71.217
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],20.108
(0.335 - 0.411],(3 - 4],(3.0 - 5.0],(13.0 - 16.0],68.737
(5.318 - 18.792],[1 - 2],(9.0 - 14.0],(4.0 - 7.0],10.709
(0.411 - 0.522],(3 - 4],(5.0 - 9.0],(7.0 - 10.0],59.418
(0.522 - 0.713],[1 - 2],(5.0 - 9.0],(4.0 - 7.0],46.687
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],15.176
(1.071 - 2.033],(2 - 3],(9.0 - 14.0],(10.0 - 13.0],53.879
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],11.927
(0.335 - 0.411],[1 - 2],(9.0 - 14.0],(13.0 - 16.0],52.418
(0.522 - 0.713],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],23.45
(2.033 - 5.318],(2 - 3],(3.0 - 5.0],(20.0 - 24.8],64.214
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],15.995
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],34.295
(0.335 - 0.411],[1 - 2],(5.0 - 9.0],(10.0 - 13.0],26.934
(0.335 - 0.411],[1 - 2],(14.0 - 93.0],[0.0 - 4.0],46.028
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],23.086
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],24.076
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],9.286
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],62.437
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],13.002
(0.411 - 0.522],(2 - 3],(14.0 - 93.0],(7.0 - 10.0],49.773
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],12.926
(0.522 - 0.713],(3 - 4],(9.0 - 14.0],(7.0 - 10.0],58.794
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],7.395
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],13.186
(0.335 - 0.411],[1 - 2],(9.0 - 14.0],(10.0 - 13.0],44.863
(1.071 - 2.033],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],50.586
(0.411 - 0.522],(2 - 3],(9.0 - 14.0],(4.0 - 7.0],52.038
(0.335 - 0.411],(2 - 3],(5.0 - 9.0],(4.0 - 7.0],67.908
(0.522 - 0.713],(3 - 4],(5.0 - 9.0],(7.0 - 10.0],65.713
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(20.0 - 24.8],55.284
(0.335 - 0.411],[1 - 2],(3.0 - 5.0],(10.0 - 13.0],13.882
(0.522 - 0.713],(2 - 3],(3.0 - 5.0],(16.0 - 20.0],45.597
(0.411 - 0.522],[1 - 2],(9.0 - 14.0],(13.0 - 16.0],62.491
(0.522 - 0.713],[1 - 2],(9.0 - 14.0],(10.0 - 13.0],38.567
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],5.764
(0.713 - 1.071],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],67.474
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],32.041
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],(4.0 - 7.0],51.315
(0.522 - 0.713],[1 - 2],(1.0 - 2.0],(7.0 - 10.0],59.313
(0.522 - 0.713],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],13.312
(0.522 - 0.713],[1 - 2],(9.0 - 14.0],(10.0 - 13.0],26.813
(0.411 - 0.522],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],9.159
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],[0.0 - 4.0],55.457
(1.071 - 2.033],(2 - 3],(3.0 - 5.0],(16.0 - 20.0],54.591
(0.522 - 0.713],(2 - 3],(1.0 - 2.0],[0.0 - 4.0],80.697
(2.033 - 5.318],[1 - 2],(3.0 - 5.0],(4.0 - 7.0],28.382
(2.033 - 5.318],[1 - 2],(5.0 - 9.0],(10.0 - 13.0],21.314
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],6.513
(1.071 - 2.033],[1 - 2],(9.0 - 14.0],(16.0 - 20.0],35.809
(0.335 - 0.411],[1 - 2],(5.0 - 9.0],(4.0 - 7.0],17.414
(0.335 - 0.411],[1 - 2],(3.0 - 5.0],(4.0 - 7.0],12.468
(0.522 - 0.713],(3 - 4],(9.0 - 14.0],[0.0 - 4.0],72.068
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],6.572
(0.411 - 0.522],[1 - 2],(5.0 - 9.0],(7.0 - 10.0],16.598
(0.713 - 1.071],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],65.994
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],34.362
(0.713 - 1.071],[1 - 2],(9.0 - 14.0],(10.0 - 13.0],23.963
(0.411 - 0.522],(3 - 4],(14.0 - 93.0],(7.0 - 10.0],60.332
(0.522 - 0.713],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],65.326
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],17.17
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],32.762
(0.713 - 1.071],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],16.137
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(4.0 - 7.0],54.915
(0.335 - 0.411],(2 - 3],(14.0 - 93.0],(7.0 - 10.0],59.504
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],20.909
(2.033 - 5.318],(3 - 4],(14.0 - 93.0],[0.0 - 4.0],83.932
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],14.916
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],10.485
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],66.111
(0.713 - 1.071],[1 - 2],(5.0 - 9.0],(7.0 - 10.0],15.486
(0.411 - 0.522],(2 - 3],(5.0 - 9.0],(4.0 - 7.0],51.016
(1.071 - 2.033],[1 - 2],(1.0 - 2.0],(29.0 - 35.0],22.907
(0.335 - 0.411],[1 - 2],(14.0 - 93.0],[0.0 - 4.0],25.79
(0.411 - 0.522],(2 - 3],(2.0 - 3.0],(10.0 - 13.0],66.613
(1.071 - 2.033],[1 - 2],(9.0 - 14.0],(10.0 - 13.0],18.781
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.094
(0.522 - 0.713],[1 - 2],(2.0 - 3.0],(7.0 - 10.0],39.784
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],68.051
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(4.0 - 7.0],64.115
(0.522 - 0.713],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],32.345
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],60.374
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],6.34
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],47.65
(0.522 - 0.713],(3 - 4],[0.0 - 1.0],(10.0 - 13.0],80.723
(0.411 - 0.522],[1 - 2],(9.0 - 14.0],(10.0 - 13.0],21.821
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],20.514
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],16.949
(1.071 - 2.033],(2 - 3],(5.0 - 9.0],(7.0 - 10.0],50.855
(0.411 - 0.522],[1 - 2],(9.0 - 14.0],(7.0 - 10.0],51.314
(0.335 - 0.411],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],51.668
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],47.057
(5.318 - 18.792],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],9.699
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],63.163
(2.033 - 5.318],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],6.557
(0.522 - 0.713],(2 - 3],(1.0 - 2.0],(7.0 - 10.0],60.209
(0.713 - 1.071],(2 - 3],[0.0 - 1.0],(20.0 - 24.8],75.4
(2.033 - 5.318],[1 - 2],(9.0 - 14.0],(24.8 - 29.0],24.512
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],13.184
(0.522 - 0.713],[1 - 2],(5.0 - 9.0],(4.0 - 7.0],15.033
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],67.076
(0.335 - 0.411],[1 - 2],(5.0 - 9.0],(20.0 - 24.8],21.987
(2.033 - 5.318],(2 - 3],(5.0 - 9.0],(4.0 - 7.0],75.518
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],13.75
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],7.36
(0.713 - 1.071],[1 - 2],(3.0 - 5.0],(4.0 - 7.0],45.362
(0.411 - 0.522],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],43.248
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(16.0 - 20.0],11.549
(2.033 - 5.318],(2 - 3],(2.0 - 3.0],(20.0 - 24.8],50.694
(0.713 - 1.071],(2 - 3],(5.0 - 9.0],(7.0 - 10.0],27.734
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],60.372
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(35.0 - 59.0],8.807
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],13.175
(2.033 - 5.318],(2 - 3],(3.0 - 5.0],(4.0 - 7.0],71.693
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(4.0 - 7.0],64.398
(1.071 - 2.033],(2 - 3],(14.0 - 93.0],[0.0 - 4.0],71.642
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],23.287
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(13.0 - 16.0],44.618
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],17.049
(1.071 - 2.033],(2 - 3],(3.0 - 5.0],(16.0 - 20.0],62.237
(0.411 - 0.522],[1 - 2],(14.0 - 93.0],(10.0 - 13.0],58.626
(0.713 - 1.071],(3 - 4],(9.0 - 14.0],[0.0 - 4.0],66.166
(0.522 - 0.713],(3 - 4],(9.0 - 14.0],(4.0 - 7.0],73.566
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],71.444
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],8.813
(0.522 - 0.713],[1 - 2],(1.0 - 2.0],(20.0 - 24.8],5.525
(0.411 - 0.522],(2 - 3],(14.0 - 93.0],[0.0 - 4.0],62.463
(0.713 - 1.071],[1 - 2],(5.0 - 9.0],(4.0 - 7.0],11.068
(0.411 - 0.522],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],42.001
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],73.426
(0.335 - 0.411],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],32.224
(0.411 - 0.522],(2 - 3],(14.0 - 93.0],[0.0 - 4.0],62.95
(0.713 - 1.071],(2 - 3],(14.0 - 93.0],(4.0 - 7.0],70.506
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],58.209
(2.033 - 5.318],(3 - 4],(3.0 - 5.0],(16.0 - 20.0],67.734
(0.522 - 0.713],[1 - 2],(3.0 - 5.0],(4.0 - 7.0],50.005
(0.713 - 1.071],(2 - 3],(9.0 - 14.0],(4.0 - 7.0],26.833
(1.071 - 2.033],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],48.935
(0.411 - 0.522],[1 - 2],(5.0 - 9.0],(7.0 - 10.0],30.132
(0.411 - 0.522],(2 - 3],(5.0 - 9.0],[0.0 - 4.0],74.834
(2.033 - 5.318],[1 - 2],(9.0 - 14.0],(10.0 - 13.0],53.495
(1.071 - 2.033],[1 - 2],(2.0 - 3.0],(16.0 - 20.0],11.594
(0.335 - 0.411],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],46.07
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],21.216
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],63.59
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],36.887
(1.071 - 2.033],(2 - 3],(9.0 - 14.0],(4.0 - 7.0],49.881
(0.335 - 0.411],(2 - 3],(5.0 - 9.0],(7.0 - 10.0],39.146
(0.713 - 1.071],(3 - 4],(9.0 - 14.0],[0.0 - 4.0],53.286
(0.411 - 0.522],[1 - 2],(5.0 - 9.0],(7.0 - 10.0],25.783
(0.411 - 0.522],(2 - 3],(14.0 - 93.0],(4.0 - 7.0],38.831
(0.411 - 0.522],(2 - 3],(3.0 - 5.0],(20.0 - 24.8],32.438
(0.522 - 0.713],(3 - 4],(9.0 - 14.0],(7.0 - 10.0],52.414
(0.713 - 1.071],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],10.499
(0.713 - 1.071],[1 - 2],(5.0 - 9.0],(7.0 - 10.0],14.968
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],23.815
(0.335 - 0.411],(2 - 3],(14.0 - 93.0],[0.0 - 4.0],39.128
(1.071 - 2.033],(2 - 3],(2.0 - 3.0],(7.0 - 10.0],78.16
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],23.773
(0.713 - 1.071],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],15.293
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(13.0 - 16.0],42.919
(2.033 - 5.318],[1 - 2],(5.0 - 9.0],(7.0 - 10.0],5.684
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],44.689
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],56.72
(1.071 - 2.033],(2 - 3],(3.0 - 5.0],(7.0 - 10.0],23.392
(1.071 - 2.033],(2 - 3],(2.0 - 3.0],(16.0 - 20.0],43.309
(0.335 - 0.411],(2 - 3],(5.0 - 9.0],(7.0 - 10.0],57.485
(0.411 - 0.522],(3 - 4],(14.0 - 93.0],[0.0 - 4.0],68.804
(0.713 - 1.071],[1 - 2],(2.0 - 3.0],(20.0 - 24.8],7.21
(0.335 - 0.411],(2 - 3],(3.0 - 5.0],(10.0 - 13.0],39.584
(0.335 - 0.411],(3 - 4],(14.0 - 93.0],[0.0 - 4.0],54.944
(2.033 - 5.318],[1 - 2],(14.0 - 93.0],[0.0 - 4.0],8.979
(0.411 - 0.522],(3 - 4],(5.0 - 9.0],(7.0 - 10.0],63.141
(0.522 - 0.713],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],69.379
(0.411 - 0.522],(3 - 4],(2.0 - 3.0],(7.0 - 10.0],46.837
(5.318 - 18.792],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],7.248
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],9.462
(1.071 - 2.033],(2 - 3],(1.0 - 2.0],(20.0 - 24.8],61.541
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],28.969
(0.335 - 0.411],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],24.116
(0.522 - 0.713],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],79.56
(1.071 - 2.033],[1 - 2],(1.0 - 2.0],(24.8 - 29.0],8.151
(0.713 - 1.071],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],23.141
(0.522 - 0.713],(3 - 4],(9.0 - 14.0],[0.0 - 4.0],73.909
(0.335 - 0.411],(3 - 4],(14.0 - 93.0],[0.0 - 4.0],70.267
(0.335 - 0.411],[1 - 2],[0.0 - 1.0],(4.0 - 7.0],11.211
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],6.031
(0.522 - 0.713],[1 - 2],(2.0 - 3.0],[0.0 - 4.0],54.447
(0.522 - 0.713],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],56.605
(1.071 - 2.033],[1 - 2],(14.0 - 93.0],[0.0 - 4.0],14.236
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],26.377
(1.071 - 2.033],[1 - 2],(1.0 - 2.0],(24.8 - 29.0],9.016
(0.335 - 0.411],[1 - 2],(5.0 - 9.0],(24.8 - 29.0],7.739
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(35.0 - 59.0],65.05
(1.071 - 2.033],[1 - 2],(1.0 - 2.0],(7.0 - 10.0],53.536
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],9.872
(2.033 - 5.318],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],6.46
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(13.0 - 16.0],20.489
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],12.329
(0.522 - 0.713],[1 - 2],(5.0 - 9.0],(16.0 - 20.0],10.166
(0.335 - 0.411],(3 - 4],[0.0 - 1.0],(4.0 - 7.0],76.823
(0.713 - 1.071],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],50.25
(0.411 - 0.522],(3 - 4],(5.0 - 9.0],(10.0 - 13.0],69.504
(2.033 - 5.318],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],9.129
(2.033 - 5.318],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],25.143
(0.522 - 0.713],[1 - 2],(9.0 - 14.0],(7.0 - 10.0],59.218
(0.713 - 1.071],(2 - 3],(5.0 - 9.0],(13.0 - 16.0],72.787
(2.033 - 5.318],(3 - 4],(1.0 - 2.0],(24.8 - 29.0],43.023
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],6.714
(0.411 - 0.522],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],50.005
(1.071 - 2.033],[1 - 2],(1.0 - 2.0],[0.0 - 4.0],28.826
(1.071 - 2.033],[1 - 2],(1.0 - 2.0],(35.0 - 59.0],12.98
(0.522 - 0.713],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],28.761
(0.411 - 0.522],(2 - 3],[0.0 - 1.0],(4.0 - 7.0],58.717
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(4.0 - 7.0],71.322
(1.071 - 2.033],(3 - 4],(9.0 - 14.0],(4.0 - 7.0],55.066
(2.033 - 5.318],[1 - 2],(5.0 - 9.0],(13.0 - 16.0],16.799
(0.335 - 0.411],(2 - 3],(5.0 - 9.0],(16.0 - 20.0],62.258
