D,Spk,OS,SNR,JER
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],75.811
(1.071 - 2.033],(5 - 7],(2.0 - 3.0],(29.0 - 35.0],9.127
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],24.143
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],25.946
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],12.192
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],62.785
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],35.891
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],11.615
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],34.687
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(16.0 - 20.0],60.53
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],63.408
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],13.128
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],3.815
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],54.971
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(29.0 - 35.0],19.991
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],35.9
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],23.687
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],21.322
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],88.36
(2.033 - 5.318],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],27.741
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(24.8 - 29.0],37.612
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],46.198
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],16.569
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(29.0 - 35.0],71.661
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(16.0 - 20.0],7.379
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],29.155
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],1.6
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],12.564
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],24.99
(2.033 - 5.318],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],34.096
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],34.255
(1.071 - 2.033],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],42.179
(2.033 - 5.318],(3 - 4],(2.0 - 3.0],(24.8 - 29.0],11.876
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],87.733
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],5.159
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(20.0 - 24.8],43.027
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],7.863
(1.071 - 2.033],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],24.921
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],4.98
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],4.794
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],28.979
(0.522 - 0.713],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],29.247
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],61.147
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],74.693
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(13.0 - 16.0],7.061
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],39.748
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],43.708
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],44.849
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(13.0 - 16.0],11.349
(5.318 - 18.792],(10 - 41],(3.0 - 5.0],(16.0 - 20.0],67.545
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],22.517
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],12.118
(18.792 - 30.494],[1 - 2],(9.0 - 14.0],(35.0 - 59.0],17.764
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],26.7
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],80.564
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],20.478
(18.792 - 30.494],(7 - 10],(3.0 - 5.0],(35.0 - 59.0],9.06
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],31.605
(5.318 - 18.792],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],46.938
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(35.0 - 59.0],5.218
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],53.978
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],60.535
(18.792 - 30.494],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],46.01
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],10.807
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],49.84
