D,Spk,OS,SNR,DER
(5.318 - 18.792],(7 - 10],(3.0 - 5.0],(24.8 - 29.0],20.317
(1.071 - 2.033],(5 - 7],(2.0 - 3.0],(29.0 - 35.0],5.056
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],28.26
(2.033 - 5.318],(5 - 7],[0.0 - 1.0],(24.8 - 29.0],12.408
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],14.851
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],43.081
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],20.468
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],13.623
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],17.626
(2.033 - 5.318],(7 - 10],(9.0 - 14.0],(16.0 - 20.0],35.896
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(35.0 - 59.0],11.038
(5.318 - 18.792],[1 - 2],(2.0 - 3.0],(29.0 - 35.0],11.046
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],3.077
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(29.0 - 35.0],11.767
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(29.0 - 35.0],4.85
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(35.0 - 59.0],2.302
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],19.31
(5.318 - 18.792],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],18.82
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],28.997
(2.033 - 5.318],(5 - 7],(5.0 - 9.0],(16.0 - 20.0],17.15
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(24.8 - 29.0],35.481
(1.071 - 2.033],(4 - 5],[0.0 - 1.0],(13.0 - 16.0],14.809
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],12.598
(0.713 - 1.071],(2 - 3],(3.0 - 5.0],(29.0 - 35.0],17.692
(5.318 - 18.792],(2 - 3],(1.0 - 2.0],(16.0 - 20.0],6.427
(5.318 - 18.792],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],5.152
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],2.527
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],13.936
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],28.27
(2.033 - 5.318],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],20.314
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(13.0 - 16.0],27.717
(1.071 - 2.033],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],28.276
(2.033 - 5.318],(3 - 4],(2.0 - 3.0],(24.8 - 29.0],21.33
(2.033 - 5.318],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],100.076
(5.318 - 18.792],(7 - 10],[0.0 - 1.0],(35.0 - 59.0],5.377
(18.792 - 30.494],(7 - 10],(5.0 - 9.0],(20.0 - 24.8],16.516
(2.033 - 5.318],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],8.684
(1.071 - 2.033],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],20.317
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(29.0 - 35.0],6.656
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(13.0 - 16.0],4.764
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],48.239
(0.522 - 0.713],(3 - 4],(3.0 - 5.0],(24.8 - 29.0],5.1
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],18.567
(18.792 - 30.494],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],21.728
(1.071 - 2.033],[1 - 2],(3.0 - 5.0],(13.0 - 16.0],8.367
(2.033 - 5.318],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],9.666
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],10.389
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],18.71
(2.033 - 5.318],(5 - 7],(2.0 - 3.0],(13.0 - 16.0],28.357
(5.318 - 18.792],(10 - 41],(3.0 - 5.0],(16.0 - 20.0],27.399
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],9.187
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],9.516
(18.792 - 30.494],[1 - 2],(9.0 - 14.0],(35.0 - 59.0],16.375
(5.318 - 18.792],[1 - 2],(3.0 - 5.0],(20.0 - 24.8],21.467
(5.318 - 18.792],(10 - 41],(2.0 - 3.0],(10.0 - 13.0],29.744
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(7.0 - 10.0],14.658
(18.792 - 30.494],(7 - 10],(3.0 - 5.0],(35.0 - 59.0],12.61
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(29.0 - 35.0],6.363
(5.318 - 18.792],(7 - 10],(1.0 - 2.0],(29.0 - 35.0],12.739
(5.318 - 18.792],(4 - 5],(1.0 - 2.0],(35.0 - 59.0],4.204
(1.071 - 2.033],(3 - 4],[0.0 - 1.0],(24.8 - 29.0],11.294
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(13.0 - 16.0],19.268
(18.792 - 30.494],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],15.46
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],12.451
(5.318 - 18.792],(2 - 3],[0.0 - 1.0],(16.0 - 20.0],25.507
(5.318 - 18.792],(4 - 5],[0.0 - 1.0],(20.0 - 24.8],8.588
(5.318 - 18.792],(10 - 41],(9.0 - 14.0],(16.0 - 20.0],28.353
(5.318 - 18.792],(5 - 7],[0.0 - 1.0],(35.0 - 59.0],3.496
(2.033 - 5.318],[1 - 2],(1.0 - 2.0],(20.0 - 24.8],8.01
(2.033 - 5.318],(2 - 3],(9.0 - 14.0],(20.0 - 24.8],32.31
(18.792 - 30.494],(3 - 4],[0.0 - 1.0],(35.0 - 59.0],5.78
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(7.0 - 10.0],20.379
