D,Spk,OS,SNR,DER
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],231.052
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],156.74
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],134.438
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],214.286
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],293.068
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],179.396
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],92.496
(31.029 - 34.876],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],82.712
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],78.496
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],93.253
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],95.403
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],82.914
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],65.447
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],95.608
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],100.282
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],89.273
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(25.0 - 29.0],78.307
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],76.312
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],76.241
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],80.729
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],70.811
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],75.786
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],83.86
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],81.588
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],72.544
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],74.301
(11.811 - 20.001],(4 - 5],[0.0 - 1.0],(36.0 - 59.0],77.604
(20.001 - 31.029],(4 - 5],[0.0 - 1.0],(17.0 - 21.0],83.765
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],85.158
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],89.993
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],70.782
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],72.746
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],79.765
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(25.0 - 29.0],83.36
(34.876 - 95.677],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],87.481
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],87.111
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],82.09
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(29.0 - 36.0],92.753
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],82.184
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],69.314
(34.876 - 95.677],(4 - 5],[0.0 - 1.0],(36.0 - 59.0],77.478
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],81.399
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],63.284
(20.001 - 31.029],(7 - 10],[0.0 - 1.0],(25.0 - 29.0],70.523
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(25.0 - 29.0],75.653
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],84.454
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],82.821
(20.001 - 31.029],(5 - 7],[0.0 - 1.0],(36.0 - 59.0],73.062
(34.876 - 95.677],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],91.731
(34.876 - 95.677],(7 - 10],[0.0 - 1.0],(25.0 - 29.0],94.245
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],91.71
(0.335 - 0.42],(2 - 3],(8.0 - 13.0],(4.0 - 8.0],74.727
(0.335 - 0.42],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],77.213
(0.587 - 0.884],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],81.591
(0.884 - 1.466],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],107.249
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(25.0 - 29.0],70.419
(1.466 - 3.204],(3 - 4],(2.0 - 3.0],(4.0 - 8.0],78.951
(0.42 - 0.587],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],83.864
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],70.547
(1.466 - 3.204],(3 - 4],(8.0 - 13.0],(10.0 - 13.0],83.709
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],107.901
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],76.689
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(25.0 - 29.0],73.93
(0.335 - 0.42],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],74.19
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],[0.0 - 4.0],75.372
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],80.585
(11.811 - 20.001],[1 - 2],(8.0 - 13.0],(4.0 - 8.0],83.854
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],(8.0 - 10.0],68.894
(0.42 - 0.587],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],79.924
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],104.092
(0.884 - 1.466],(2 - 3],(8.0 - 13.0],(10.0 - 13.0],78.592
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],72.081
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(17.0 - 21.0],76.425
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(21.0 - 25.0],90.696
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],64.62
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],113.582
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],84.67
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],95.753
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],77.655
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],89.986
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],(8.0 - 10.0],73.063
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],83.129
(0.42 - 0.587],(3 - 4],(8.0 - 13.0],(8.0 - 10.0],75.81
(11.811 - 20.001],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],79.017
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],74.127
(0.335 - 0.42],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],82.741
(0.335 - 0.42],(2 - 3],(8.0 - 13.0],(4.0 - 8.0],84.425
(0.884 - 1.466],(2 - 3],(3.0 - 5.0],(21.0 - 25.0],92.106
(0.335 - 0.42],[1 - 2],(3.0 - 5.0],(10.0 - 13.0],101.726
(0.587 - 0.884],(2 - 3],(3.0 - 5.0],(17.0 - 21.0],78.692
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],78.683
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(21.0 - 25.0],76.751
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],138.329
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],79.651
(0.884 - 1.466],[1 - 2],(13.0 - 63.0],(4.0 - 8.0],86.433
(0.42 - 0.587],[1 - 2],(1.0 - 2.0],(4.0 - 8.0],94.884
(0.587 - 0.884],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],66.506
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],80.567
(0.42 - 0.587],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],71.674
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],[0.0 - 4.0],104.341
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(17.0 - 21.0],82.41
(0.587 - 0.884],(2 - 3],(1.0 - 2.0],[0.0 - 4.0],124.093
(3.204 - 11.811],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],107.372
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(10.0 - 13.0],95.31
(0.884 - 1.466],[1 - 2],(8.0 - 13.0],(17.0 - 21.0],84.444
(0.42 - 0.587],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],81.425
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],77.223
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],103.023
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],96.178
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],85.093
(0.42 - 0.587],(3 - 4],(13.0 - 63.0],(4.0 - 8.0],79.459
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],76.931
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],89.794
(0.884 - 1.466],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],74.182
(0.335 - 0.42],(2 - 3],(13.0 - 63.0],(8.0 - 10.0],73.161
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],86.497
(1.466 - 3.204],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],91.838
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],83.659
(0.884 - 1.466],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],80.741
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],109.752
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(8.0 - 10.0],79.957
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],74.93
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(29.0 - 36.0],92.605
(0.335 - 0.42],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],73.067
(0.42 - 0.587],(2 - 3],(2.0 - 3.0],(10.0 - 13.0],85.715
(0.884 - 1.466],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],76.501
(0.587 - 0.884],[1 - 2],(2.0 - 3.0],(4.0 - 8.0],96.646
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],115.211
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],86.102
(0.42 - 0.587],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],68.26
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],78.29
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],96.493
(0.42 - 0.587],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],80.658
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],89.256
(3.204 - 11.811],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],84.401
(1.466 - 3.204],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],86.628
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],86.674
(11.811 - 20.001],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],80.046
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],106.094
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],73.523
(0.42 - 0.587],(2 - 3],(1.0 - 2.0],(8.0 - 10.0],90.149
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(21.0 - 25.0],178.818
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(25.0 - 29.0],86.178
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],75.775
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(21.0 - 25.0],92.276
(1.466 - 3.204],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],114.833
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],76.824
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],73.19
(0.587 - 0.884],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],96.183
(1.466 - 3.204],[1 - 2],(3.0 - 5.0],(13.0 - 17.0],72.121
(3.204 - 11.811],(2 - 3],(2.0 - 3.0],(21.0 - 25.0],97.028
(0.587 - 0.884],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],79.493
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],80.941
(11.811 - 20.001],[1 - 2],(2.0 - 3.0],(36.0 - 59.0],85.158
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],81.486
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(4.0 - 8.0],84.09
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],82.659
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],84.94
(0.587 - 0.884],(2 - 3],(3.0 - 5.0],(13.0 - 17.0],81.239
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],87.428
(1.466 - 3.204],(2 - 3],(3.0 - 5.0],(13.0 - 17.0],97.325
(0.42 - 0.587],[1 - 2],(13.0 - 63.0],(10.0 - 13.0],84.501
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],77.757
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],(4.0 - 8.0],96.493
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],109.741
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],68.714
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],62.107
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],84.878
(0.587 - 0.884],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],84.786
(0.42 - 0.587],[1 - 2],(3.0 - 5.0],[0.0 - 4.0],85.846
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],87.767
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],86.02
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],78.535
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],89.951
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],68.932
(1.466 - 3.204],(3 - 4],(3.0 - 5.0],(17.0 - 21.0],85.56
(0.587 - 0.884],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],98.118
(0.884 - 1.466],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],82.114
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],81.344
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],86.976
(0.884 - 1.466],[1 - 2],(2.0 - 3.0],(17.0 - 21.0],85.424
(0.335 - 0.42],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],75.37
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],89.218
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],110.991
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],93.565
(1.466 - 3.204],(2 - 3],(8.0 - 13.0],(4.0 - 8.0],89.412
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],74.34
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],82.172
(0.42 - 0.587],[1 - 2],(8.0 - 13.0],(8.0 - 10.0],73.361
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],81.596
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],(4.0 - 8.0],81.579
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],79.619
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(8.0 - 10.0],77.582
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],97.486
(0.335 - 0.42],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],70.652
(0.884 - 1.466],(2 - 3],(2.0 - 3.0],(8.0 - 10.0],106.779
(0.884 - 1.466],(2 - 3],(3.0 - 5.0],(13.0 - 17.0],81.827
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(8.0 - 10.0],70.427
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],91.364
(0.884 - 1.466],(2 - 3],(3.0 - 5.0],(8.0 - 10.0],64.949
(0.884 - 1.466],(2 - 3],(2.0 - 3.0],(17.0 - 21.0],78.266
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],92.151
(0.42 - 0.587],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],80.117
(0.335 - 0.42],(2 - 3],(3.0 - 5.0],(10.0 - 13.0],81.915
(0.335 - 0.42],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],73.783
(1.466 - 3.204],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],80.053
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],(8.0 - 10.0],77.324
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],87.318
(0.42 - 0.587],(3 - 4],(2.0 - 3.0],(8.0 - 10.0],85.189
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(25.0 - 29.0],81.636
(1.466 - 3.204],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],82.276
(0.884 - 1.466],(2 - 3],(1.0 - 2.0],(17.0 - 21.0],88.019
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],126.516
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],165.026
(0.884 - 1.466],[1 - 2],(1.0 - 2.0],(25.0 - 29.0],74.046
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],75.738
(0.42 - 0.587],(3 - 4],(8.0 - 13.0],[0.0 - 4.0],82.509
(0.335 - 0.42],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],76.72
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],77.142
(0.42 - 0.587],[1 - 2],(2.0 - 3.0],[0.0 - 4.0],79.729
(0.587 - 0.884],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],89.356
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],86.013
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(21.0 - 25.0],78.607
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(25.0 - 29.0],84.537
(1.466 - 3.204],[1 - 2],(2.0 - 3.0],(36.0 - 59.0],96.333
(0.884 - 1.466],[1 - 2],(1.0 - 2.0],(8.0 - 10.0],103.168
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],58.271
(3.204 - 11.811],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],73.645
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],72.692
(0.587 - 0.884],[1 - 2],(5.0 - 8.0],(17.0 - 21.0],78.318
(0.335 - 0.42],(3 - 4],[0.0 - 1.0],(4.0 - 8.0],86.487
(0.587 - 0.884],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],81.146
(0.42 - 0.587],(3 - 4],(5.0 - 8.0],(10.0 - 13.0],99.28
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(13.0 - 17.0],81.111
(3.204 - 11.811],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],84.496
(3.204 - 11.811],(3 - 4],(1.0 - 2.0],(25.0 - 29.0],82.583
(0.42 - 0.587],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],101.259
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],[0.0 - 4.0],100.975
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(36.0 - 59.0],81.377
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],80.884
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],91.654
(1.466 - 3.204],(3 - 4],[0.0 - 1.0],(4.0 - 8.0],121.114
(0.884 - 1.466],(3 - 4],(8.0 - 13.0],(4.0 - 8.0],83.087
(1.466 - 3.204],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],83.203
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(13.0 - 17.0],74.28
(0.884 - 1.466],(3 - 4],(13.0 - 63.0],(10.0 - 13.0],82.779
(1.466 - 3.204],(2 - 3],(13.0 - 63.0],(4.0 - 8.0],84.45
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(21.0 - 25.0],81.614
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],100.883
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(36.0 - 59.0],78.209
(0.42 - 0.587],[1 - 2],(13.0 - 63.0],(8.0 - 10.0],72.857
(0.587 - 0.884],[1 - 2],(2.0 - 3.0],(8.0 - 10.0],74.821
(0.884 - 1.466],[1 - 2],(13.0 - 63.0],[0.0 - 4.0],109.75
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],83.464
(0.587 - 0.884],(3 - 4],(8.0 - 13.0],(4.0 - 8.0],93.453
(0.587 - 0.884],[1 - 2],(3.0 - 5.0],(29.0 - 36.0],77.009
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],70.84
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],75.183
(0.42 - 0.587],(2 - 3],(8.0 - 13.0],(10.0 - 13.0],81.834
(0.335 - 0.42],[1 - 2],(3.0 - 5.0],(4.0 - 8.0],126.234
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],(17.0 - 21.0],74.273
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],101.934
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(13.0 - 17.0],81.915
(0.335 - 0.42],(3 - 4],(13.0 - 63.0],(4.0 - 8.0],74.873
(0.42 - 0.587],[1 - 2],(2.0 - 3.0],(10.0 - 13.0],79.84
(0.42 - 0.587],(3 - 4],(1.0 - 2.0],(4.0 - 8.0],85.336
(0.42 - 0.587],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],75.699
(0.335 - 0.42],(3 - 4],(13.0 - 63.0],[0.0 - 4.0],84.524
(0.42 - 0.587],(2 - 3],(13.0 - 63.0],[0.0 - 4.0],126.079
(0.335 - 0.42],(2 - 3],(5.0 - 8.0],(8.0 - 10.0],89.606
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],84.461
(0.335 - 0.42],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],79.436
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],63.794
(0.42 - 0.587],(2 - 3],[0.0 - 1.0],(4.0 - 8.0],113.499
(0.335 - 0.42],(2 - 3],[0.0 - 1.0],(10.0 - 13.0],69.178
(0.335 - 0.42],[1 - 2],(3.0 - 5.0],(10.0 - 13.0],84.848
(0.587 - 0.884],[1 - 2],(8.0 - 13.0],(4.0 - 8.0],74.812
(0.587 - 0.884],(3 - 4],[0.0 - 1.0],(4.0 - 8.0],85.326
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],88.826
(0.335 - 0.42],[1 - 2],(2.0 - 3.0],(4.0 - 8.0],82.035
(20.001 - 31.029],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],86.638
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],76.371
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],66.51
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],86.565
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],84.027
(0.42 - 0.587],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],96.915
(3.204 - 11.811],(2 - 3],(3.0 - 5.0],(17.0 - 21.0],87.774
(0.884 - 1.466],(2 - 3],(2.0 - 3.0],(21.0 - 25.0],83.974
(0.42 - 0.587],[1 - 2],(2.0 - 3.0],(4.0 - 8.0],130.1
(0.884 - 1.466],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],97.402
(0.335 - 0.42],[1 - 2],(3.0 - 5.0],(13.0 - 17.0],77.264
(0.587 - 0.884],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],113.45
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],99.997
(0.884 - 1.466],(2 - 3],(5.0 - 8.0],(4.0 - 8.0],97.766
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],74.78
(0.884 - 1.466],[1 - 2],(2.0 - 3.0],(4.0 - 8.0],106.419
(0.884 - 1.466],(2 - 3],(1.0 - 2.0],(13.0 - 17.0],101.501
(0.335 - 0.42],[1 - 2],(5.0 - 8.0],(4.0 - 8.0],91.816
(0.42 - 0.587],[1 - 2],(3.0 - 5.0],(10.0 - 13.0],109.307
(0.42 - 0.587],(3 - 4],(13.0 - 63.0],(8.0 - 10.0],84.208
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],74.14
(0.587 - 0.884],[1 - 2],(1.0 - 2.0],(10.0 - 13.0],83.48
(0.884 - 1.466],[1 - 2],(5.0 - 8.0],(10.0 - 13.0],80.358
(0.42 - 0.587],(2 - 3],(8.0 - 13.0],[0.0 - 4.0],73.33
(0.587 - 0.884],[1 - 2],(5.0 - 8.0],(29.0 - 36.0],83.659
(11.811 - 20.001],(3 - 4],(8.0 - 13.0],(29.0 - 36.0],73.768
(0.42 - 0.587],(3 - 4],(3.0 - 5.0],(17.0 - 21.0],76.123
(0.884 - 1.466],[1 - 2],(1.0 - 2.0],(4.0 - 8.0],80.421
(0.884 - 1.466],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],83.406
(0.335 - 0.42],(3 - 4],[0.0 - 1.0],(13.0 - 17.0],82.221
(1.466 - 3.204],[1 - 2],(1.0 - 2.0],(21.0 - 25.0],73.993
(0.42 - 0.587],[1 - 2],[0.0 - 1.0],[0.0 - 4.0],83.912
(0.335 - 0.42],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],69.799
(0.42 - 0.587],(2 - 3],(8.0 - 13.0],[0.0 - 4.0],96.641
(1.466 - 3.204],[1 - 2],(3.0 - 5.0],(17.0 - 21.0],76.516
(0.587 - 0.884],(2 - 3],[0.0 - 1.0],(8.0 - 10.0],86.172
(1.466 - 3.204],[1 - 2],(8.0 - 13.0],(10.0 - 13.0],90.093
