D,Spk,OS,SNR,DER
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(36.0 - 59.0],66.127
(3.204 - 11.811],[1 - 2],(2.0 - 3.0],(29.0 - 36.0],78.999
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],72.368
(11.811 - 20.001],(7 - 10],(5.0 - 8.0],(29.0 - 36.0],71.106
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(29.0 - 36.0],71.91
(3.204 - 11.811],(2 - 3],[0.0 - 1.0],(36.0 - 59.0],74.354
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(8.0 - 10.0],88.985
(3.204 - 11.811],(3 - 4],(8.0 - 13.0],(21.0 - 25.0],74.034
(11.811 - 20.001],(10 - 41],(8.0 - 13.0],(17.0 - 21.0],79.14
(1.466 - 3.204],(5 - 7],(5.0 - 8.0],(17.0 - 21.0],72.278
(1.466 - 3.204],(2 - 3],(8.0 - 13.0],(25.0 - 29.0],75.542
(0.884 - 1.466],(4 - 5],[0.0 - 1.0],(13.0 - 17.0],64.236
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],110.401
(3.204 - 11.811],(2 - 3],(1.0 - 2.0],(17.0 - 21.0],67.075
(3.204 - 11.811],(3 - 4],[0.0 - 1.0],(36.0 - 59.0],56.104
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],88.656
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],73.769
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],100.672
(1.466 - 3.204],(3 - 4],(3.0 - 5.0],(25.0 - 29.0],71.198
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(13.0 - 17.0],77.759
(1.466 - 3.204],(10 - 41],[0.0 - 1.0],(21.0 - 25.0],76.849
(1.466 - 3.204],(3 - 4],(2.0 - 3.0],(25.0 - 29.0],76.546
(1.466 - 3.204],(2 - 3],[0.0 - 1.0],[0.0 - 4.0],153.183
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(36.0 - 59.0],51.601
(11.811 - 20.001],(7 - 10],(5.0 - 8.0],(21.0 - 25.0],86.502
(3.204 - 11.811],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],79.625
(11.811 - 20.001],(7 - 10],[0.0 - 1.0],(29.0 - 36.0],151.335
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(13.0 - 17.0],49.676
(3.204 - 11.811],(4 - 5],[0.0 - 1.0],[0.0 - 4.0],138.537
(11.811 - 20.001],(5 - 7],(3.0 - 5.0],(29.0 - 36.0],73.628
(11.811 - 20.001],(10 - 41],[0.0 - 1.0],(10.0 - 13.0],84.901
(0.884 - 1.466],[1 - 2],(3.0 - 5.0],(13.0 - 17.0],73.946
(3.204 - 11.811],(7 - 10],[0.0 - 1.0],(10.0 - 13.0],76.168
(11.811 - 20.001],(5 - 7],[0.0 - 1.0],(29.0 - 36.0],85.443
